gas_price,electricity_price,point_type
25,65,corner
315,65,corner
25,450,corner
315,450,corner
250.016055965021621,332.725243311734573,interior
115.498459091619623,299.744340696700078,interior
96.8090799685971746,437.221038989980855,interior
253.599520335012642,130.301799668093594,interior
154.691294991025046,232.969024546259163,interior
74.3321917927056859,221.893755881426955,interior
98.9762438832346447,275.20932639462319,interior
152.101866033172513,386.192006751446456,interior
281.162797336455355,85.6111780140879688,interior
27.3858726783548541,250.316682546266151,interior
291.134791091613351,259.44549803914515,interior
125.867457823861486,353.405653851666216,interior
51.0424137081103595,321.487111269420893,interior
136.616081473182419,187.347728294961854,interior
141.542850598917454,65.1586451893697216,interior
194.468436544307195,279.307992941648138,interior
72.9289466409667284,370.059555226213774,interior
105.798909807285767,143.194026863624885,interior
299.338186873092582,166.321265187609868,interior
208.725813668055537,193.858649681260232,interior
261.414683204576249,211.102219347026221,interior
185.044589235906216,439.353208679950228,interior
237.095280502732066,237.342117018900183,interior
219.463932525052797,109.761575984671495,interior
227.325677267264012,403.160284266878136,interior
57.3691345323181352,173.401012342403476,interior
310.715013954940332,307.296456705416858,interior
187.304671071254859,151.995928209133666,interior
86.9795934875412229,121.308130967301693,interior
41.6430867038421297,91.5248801669077068,interior
165.754509847499094,327.882881200119755,interior
175.402568018145274,99.0006982812872565,interior
289.635690299549708,426.969476136195453,interior
210.789568729124625,357.994750720127115,interior
40.4216870677753661,409.520133173088254,interior
273.292392747495796,379.351088355220497,interior
