gas_price,electricity_price,point_type
152.910763903916973,445.489990071650084,interior
225.876434487184554,195.91201216446791,interior
294.901139368512247,98.1771389895015574,interior
228.343716580301248,163.040375617929953,interior
54.2115229374245615,339.181257213885146,interior
293.67829650305373,333.137893961553914,interior
203.907722323897787,414.293343633628695,interior
171.357418200697168,377.056596404156778,interior
249.693234491518552,426.485579103564532,interior
125.78259470860813,122.764084221635102,interior
27.5620801035276983,186.081792660432654,interior
141.129345533617936,378.082214725852396,interior
291.831858217305353,374.328088885771422,interior
188.563790300119109,105.995945633264412,interior
79.8666290150081295,209.006359159029728,interior
303.056070312730697,169.809039536894119,interior
92.1535944828903695,164.31702360640594,interior
80.5900788386467752,138.184496199638744,interior
164.820235779795837,387.204296005178605,interior
141.506787714442652,247.964139104263808,interior
145.869541340796616,304.906040471090819,interior
314.013068921211186,265.427793064807133,interior
70.6900779634391085,312.221346284174501,interior
152.335876110747392,93.9553933165113335,interior
163.950328178276891,88.0272174097211177,interior
294.558519417382286,86.92129950135228,interior
36.7096945311361083,245.18813745072751,interior
171.67105023738381,374.728658695538854,interior
275.621128991087858,390.875259087627569,interior
102.182051674545264,368.662158237927883,interior
47.0567433127311574,312.43366159899216,interior
158.010958198266195,112.584885046254897,interior
185.473970010896835,429.485090193226654,interior
68.5070226529694821,123.818812531216338,interior
254.777670213989182,435.899287603082314,interior
173.314162241432115,171.932607324080038,interior
181.72953860314604,298.631488324806867,interior
136.60989784809459,270.549370149518893,interior
46.7615603476020141,136.831616580181958,interior
261.112367814396066,386.018066296892357,interior
