price_factor,opex/C_el[€/kWh]
0.0555555555555555,39883.35
0.0623000301008691,41019.98
0.0698632875102457,42294.61
0.0783447284670117,43723.97
0.0878558209513066,45326.86
0.0985215652164535,47124.35
0.1104821366142564,49140.04
0.1238947278601773,51400.45
0.1389356149505047,53935.27
0.155802473882986,56777.81
0.1747169786285984,59965.45
0.1959277144985028,63540.06
0.2197134451953221,67548.64
0.2463867764862163,72043.86
0.2762982646478532,77084.80
0.3098410236788252,82737.71
0.3474558918301489,89076.89
0.3896372253553672,95217.63
0.4369393956250535,101556.45
0.4899840749945356,108664.81
0.54946840717991,116636.13
0.6161741695221309,125575.18
0.6909780475549228,135599.42
0.774863156910807,146840.62
0.8689319639927607,158644.68
0.9744207752224144,166800.94
1.0927159852908372,175947.38
1.2253722979557615,186204.20
1.374133158853473,197706.20
1.5409536688651293,210604.56
1.7280262791781624,225068.78
1.9378096057420653,241288.96
2.173060741814714,259478.29
2.436871493269328,279875.81
2.732709012887326,302749.60
3.064461367676344,328400.28
3.436488638085367,357164.96
3.8536802206922394,389421.70
4.321519087468512,425594.41
4.846153846153845,466158.52
