price_factor,opex/C_el[€/kWh]
0.0555555555555555,39685.49
0.0623000301008691,40826.40
0.0698632875102457,42105.81
0.0783447284670117,43540.55
0.0878558209513066,45149.46
0.0985215652164535,46953.70
0.1104821366142564,48976.97
0.1238947278601773,51245.87
0.1389356149505047,53790.22
0.155802473882986,56643.45
0.1747169786285984,59843.06
0.1959277144985028,63431.11
0.2197134451953221,67454.75
0.2463867764862163,71966.86
0.2762982646478532,77026.75
0.3098410236788252,82700.91
0.3474558918301489,89063.91
0.3896372253553672,95202.70
0.4369393956250535,101521.69
0.4899840749945356,108607.81
0.54946840717991,116545.64
0.6161741695221309,125416.09
0.6909780475549228,135363.40
0.774863156910807,146518.33
0.8689319639927607,158225.70
0.9744207752224144,166331.10
1.0927159852908372,175420.50
1.2253722979557615,185613.35
1.374133158853473,197043.63
1.5409536688651293,209861.55
1.7280262791781624,224235.57
1.9378096057420653,240354.60
2.173060741814714,258430.49
2.436871493269328,278700.81
2.732709012887326,301431.95
3.064461367676344,326922.67
3.436488638085367,355507.97
3.8536802206922394,387563.54
4.321519087468512,423510.68
4.846153846153845,463821.82
